i;cell0;cell1;cell2;cell3;cell4;cell5;cell6;cell7;cell8;cell9;cell10;cell11;cell12;cell13;cell14;cell15;cell16;cell17;cell18;cell19;cell20;cell21;cell22;cell23;cell24;cell25;cell26;cell27;cell28;cell29;cell30;cell31;cell32;cell33;cell34;cell35;cell36;cell37;cell38;cell39;cell40;cell41;cell42;cell43;cell44;cell45;cell46;cell47;cell48;cell49;cell50;cell51;cell52;cell53;cell54;cell55;cell56;cell57;cell58;cell59;cell60;cell61;cell62;cell63;cell64;cell65;cell66;cell67;cell68;cell69;cell70;cell71;cell72;cell73;cell74;cell75;cell76;cell77;cell78;cell79;cell80;forced_board;winner;confidence
81;O;O; ; ; ;X; ;X; ; ; ;X;O; ;X; ; ; ; ; ; ; ; ; ;X; ;O;X;X; ;X; ; ; ; ;O; ;O; ; ; ;O; ; ; ;O; ; ; ;X; ;O;O;X; ; ;O; ;O;O;X; ; ; ; ; ;O;X; ; ; ; ;X; ; ;O; ;X;X; ; ;4.0;Draw;3.0
82; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ; ; ; ; ; ; ; ; ; ;O; ;X; ; ; ; ; ; ; ; ; ; ; ; ;X;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ; ; ; ; ; ;3.0;Draw;2.5
83;X;O;O;O;X;X;O;X;O;X;O; ;O; ; ;X;X;X;O;X;X; ;X;O; ;O;O;X;O; ; ;O; ;X;O; ; ;X; ;O;O;O;X;O; ;O;X; ; ;X; ;O;O;X;O;O;O; ; ; ;X; ;O;X; ; ;X;X;X; ;O;O; ;X;X;X;X;X; ;O; ;5.0;O;-10000.0
85; ;O; ;O;X; ;O; ;O;X;X;X;X;O;O;O;O;X; ;O; ;X; ;X;X;X;X;O;O;O;X;X;O;O;X;X;X;X;O;O; ; ;O;O;O; ;X;X;O;X;X;O;O; ;X;O;X; ;X;X;X;O; ;X;O; ;X; ;O;X;X; ; ; ;O;O;O;X;O;O;X;5.0;O;10000.0
86;O;X; ; ;X;X; ; ;X; ;O; ;X;X;O;X;X; ; ;X; ; ;O;X; ;X;X;O; ;O; ; ; ; ; ;O;O; ;X;X;O;O; ; ;X;X;O;O; ; ; ;X;X;X; ; ;O; ; ;O;X;O; ;O;O;O; ; ; ; ;X; ; ;O; ;X; ;O;O;O; ;0.0;Draw;154.5
87; ; ; ; ;X; ;X; ;O;O; ;O; ; ;X; ;X; ; ; ;O; ;X;X;X; ;X; ; ; ;X; ;O; ; ; ; ; ; ;O;X;O;O; ;X; ;X;O; ;O;O; ; ;X; ;O; ; ;O;X; ; ;O; ;O;X; ; ; ; ; ; ;X;X;O; ; ; ;X;O;O;5.0;X;3.0
88;X; ;X;O; ;O;X; ;O; ; ; ;O; ; ; ; ; ;O; ; ; ; ;O;X; ;O;O; ;X; ;X; ;O; ;X; ; ;O;X; ;X;O; ; ;O; ;X; ;X; ; ; ; ;X; ; ;O;O; ;X; ;O; ; ; ;X; ; ; ; ; ;X;X; ; ;O; ; ; ;X;8.0;X;4.5
89; ;O;X; ;X;X; ; ; ;O;X; ; ; ; ; ;O;X; ; ; ;X; ;O;O; ; ;O; ; ;X;O; ; ;O; ; ; ;X; ; ; ; ; ;O; ;O; ; ; ; ; ;O; ; ; ; ;X; ; ; ; ;X;X;X; ; ; ; ;O;X; ; ; ;O;O; ;X; ; ; ;5.0;Draw;3.0
93; ; ; ;O;O; ; ; ; ; ; ; ; ; ; ;X;X;O; ; ; ; ; ; ; ;O; ;X; ; ; ;X;X; ; ; ; ; ; ;O; ;O; ; ; ; ;X; ;O; ; ; ; ; ; ;O; ; ; ; ; ;O; ;X; ; ; ;X; ;X;O;X; ;O;X; ; ; ; ; ; ;4.0;O;110.0
96; ; ; ; ;O; ; ; ; ; ; ;O; ; ; ; ; ;X;X; ; ; ; ;X; ; ; ; ;O; ; ; ;X; ; ; ; ; ; ; ; ;X;X; ;X; ;X;O;X; ; ;O; ; ; ; ; ; ; ; ; ;X;O; ; ; ;O;O; ; ; ; ; ; ; ; ;O;O; ;X; ;5.0;O;5.0
97;O; ;O; ; ;X;O; ;O; ;O;X; ; ;O;X;X;O; ;X;X;O;X;O;O; ;O;X; ; ; ;O; ; ;O; ;X; ;X; ;O;O;O;O;X; ; ;X; ;X; ;X;O; ;X; ; ;X;O;O;X;O;X;X; ; ;X;X; ; ; ;X; ;X;O;X;X;O;O;O;X;3.0;X;-315.0
98; ; ; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ;X; ; ; ; ; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;6.0;O;0.5
99; ;X;X;O;X;X;O; ;O;O; ; ; ; ;O;O;O; ;O;X;X;O; ; ;O;O; ; ; ;X; ;X;X; ; ;X;X; ;O;O;O; ; ; ; ;O; ; ;O;X;O;O;O;X;X;X;X;O; ;X; ; ; ;X;X;O; ; ;X;X;X; ;O; ; ; ; ;X;O; ; ;;X;10000.0
100;X; ;X;O;O; ; ; ; ; ;O; ;X; ;O; ; ;X; ; ;X;O;O;O;X; ;O;X;X; ; ;X; ; ; ; ;O; ;O;O;X; ;X;O;O; ;X;X; ;X; ;X; ;X; ; ;O; ; ;O; ; ;O; ; ; ; ;X;O; ; ; ;O; ;X; ;X;O; ;X; ;3.0;O;256.0
101; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2.0;X;0.5
102;X; ; ;X;O; ; ; ; ; ;O;X; ;X; ;X; ; ; ; ; ; ; ; ; ;O;X;O; ; ; ; ; ;X;O;O; ;X; ;O;X;X;X;O;X; ;X; ; ;O; ; ;X;X; ; ; ;X;O;O;O;X; ; ;O; ;X;O;O;O;X;X;O;O;O; ;O;O; ; ;X;6.0;Draw;-45.5
103;O;O; ;X;O;X;X;O; ;X;O;X; ;X;X;O;X;O; ; ;X;O; ; ;O;O;X;O; ; ;X;X;O; ;O;O;O;O;O;O; ;O; ; ;X; ;O;X;X;X;O;X;O;X;X; ; ;X;O;O; ;X;O;X;X;O; ;X;O;X; ;O; ;X;X; ;X;X; ;X;O;2.0;Draw;10.0
104; ; ; ; ; ;X; ; ; ; ; ;O; ;X; ;O; ; ; ; ; ;X; ; ; ; ;X; ;X;O; ; ;X; ;O; ; ;X; ; ; ;O; ; ; ;O;O; ;O; ;X; ; ; ; ; ; ; ; ; ; ;X;X; ; ; ;X;O; ; ; ; ; ; ; ; ;O; ;O; ; ;4.0;X;0.5
107; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ;O; ; ;O;O; ;O; ; ; ; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ; ; ; ;X; ; ; ;O; ; ; ; ;X; ; ; ; ;7.0;X;0.5
108;O;X;X; ;X; ; ;O;X; ; ;X; ; ; ; ;O; ;O; ;O;O;X; ;O; ; ;O; ;X;X;X;O; ;O;O; ; ; ;O; ;O;O;O; ;X; ; ;O;X; ; ; ;X;X;X; ;X; ; ; ; ; ;O;O;X;X; ;X; ;X; ; ; ;X; ; ;X;O; ;O;1.0;Draw;50.0
109;X;O;X;O; ;X; ; ; ; ;X;X;O; ;O; ;X;O;O; ;O;X;X;X;X;X;O;O;X;X;O;X;X;X; ; ; ;X;O;O; ; ; ;O;O; ;O;O;X; ; ; ;O;O; ;O;O;X; ; ; ; ;O;O; ; ;O;O; ;X;X; ;X; ; ;O;X;X; ;X;X;7.0;X;-255.5
110; ;X;O; ;O;O; ; ; ;X; ;O; ;X; ;O;O;O; ; ; ; ; ;X; ;X;X;O;X; ; ; ; ; ; ; ;X;X; ; ;O; ;O;O; ;X; ; ; ; ; ;O;X; ; ;X; ; ;X; ; ;X; ;X;O;O;O;X; ;O;X; ; ; ; ;X; ; ; ;O; ;0.0;O;157.5
111; ; ; ; ; ; ; ; ;X; ; ; ;X; ;X; ; ; ; ; ; ; ;X; ; ; ; ; ; ;O; ; ; ; ; ; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ; ; ; ; ; ; ; ;X; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ;6.0;X;2.5
112;O; ; ; ; ; ;X; ; ; ;X;O;O;O;O;X; ; ; ;O; ; ;X; ;X; ; ;X;X; ; ; ; ;O;O;X; ;X;X; ; ;X; ;X;O; ;X; ; ;O;X;X; ;O; ;O;O; ;O;O; ; ; ; ;X; ;O; ;O; ; ; ; ; ; ;X;O; ; ;X; ;6.0;O;-105.5
113; ; ; ; ; ; ;O; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ;X; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ;X;O; ; ; ; ; ; ; ; ; ; ; ; ;O; ;O; ; ;1.0;Draw;1.5
115;O;X; ; ;O; ;X;O; ;X;O; ;X;O;O;O; ; ;X;X;O; ; ; ; ; ; ; ;X; ; ; ;X;O;O; ; ; ;X;X; ; ; ; ; ;O; ; ;O; ;X;X; ; ;X;X;O; ; ; ;O;X; ; ;O; ;O; ;O;X;X;X; ; ; ; ; ; ; ;X;O;6.0;O;53.0
116; ;X;O; ;X; ;X;X;O;X;O;X;O; ; ;O; ;O;O;X; ; ;O;X; ; ; ;O;O;X;X; ; ; ;O;X;O; ;O;O; ; ;X;X; ;X; ; ; ; ; ;O; ;O;X;X; ; ;X; ;O; ;X;O; ; ;X;X;O; ; ; ; ; ; ;X;O; ;O;O;X;8.0;X;363.5
117; ; ; ; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ;X;O; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6.0;O;2.0
118;X;X;X; ; ;X; ; ; ;O; ;X; ;X; ;O;O; ;O; ; ;O;O; ; ;O; ; ; ;X;X;O;X;O; ; ;O;O; ;X;X; ;X;O;O;O;O; ; ; ; ; ; ; ; ; ; ;O;O; ;X;X;O;X;X;X; ;X; ; ;O;X; ;X;X;O; ; ; ; ; ;2.0;Draw;-47.5
119; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0.0;X;0.0
120;X;X;X;X;O;X; ;O; ;O;O;X; ; ;O;X; ;O;O;O;O; ; ;X; ; ; ;O;X; ;X;O; ;O; ; ;O;X; ; ;X; ; ;X; ;O; ;X;O;O; ; ; ;O;X; ;X;O; ;O;X;X;X; ; ;O; ; ;X;O; ;O;O;X;X;X; ; ; ;X; ;8.0;X;-10000.0
121; ;X; ; ;X;O; ; ;X; ; ;O; ;X;X;O;O;O; ;O; ; ;X;O; ; ;X; ; ; ; ;X; ;X; ;X;O;X; ;O; ; ;O;O;X;O; ;X;O;O;X;O; ; ; ;X; ;O;X; ; ;X; ;X;X; ; ;O;X; ; ; ;O;O;O; ; ;X;X;O; ;;O;461.5
122;X;X; ; ;O;O;X;O;O;O; ;X;O;O;O; ;X;O;O;X;O;X;X;O; ;X; ;O;X;X;X;X;O;O;O;X; ;X;O;O;O;O;X; ; ; ;X;X;X;X; ;X;X; ;X;O; ;O;O;O;O; ;X;X;X; ;O;X;O; ;O;X;X;X;O;O;X;X;X;O;O;0.0;Draw;0.0
123;X; ; ;O;X; ;O; ;X;X; ;X;O;X;O;O;O; ; ;O; ;O;X;X; ; ;O;O;O; ; ;O;O;X;X;X;O;O;X;X; ;O;X; ;X;X; ; ;X; ; ;X; ;X;O; ;O;X;O;O;X;O;X;O;X;X; ; ;X; ; ; ;O;X;O;X;O;O;O; ; ;1.0;X;332.5
125;X; ;X; ;O;O; ;O; ; ; ;X;X;X; ; ; ;X;O;O;O;X;O; ; ; ; ;X;O;X;O; ;O;X;O; ;O; ;X; ;O; ;X;X; ; ; ; ;X; ; ; ;X; ; ;O; ; ; ; ; ; ; ;X; ;O;X;X; ; ;O;O; ; ; ;O; ; ; ;X; ;6.0;O;156.5
126;X; ; ; ; ; ;O;X;X;O; ; ; ; ; ;X; ; ; ; ; ; ; ; ;X; ;X; ; ; ;O; ; ;X; ; ;O; ; ; ; ; ; ;O; ; ;X; ; ;X; ; ; ;O;O; ; ;X; ;X;O;O; ; ; ; ; ; ;O; ; ;X; ;O;O; ;X;O; ; ; ;7.0;O;4.5
127; ; ; ; ; ; ;O; ; ; ; ; ;X; ; ; ; ; ; ;O; ; ; ; ; ; ; ;X; ; ;O; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6.0;X;3.0
129;O; ; ; ;X; ;O;X; ;O; ;O; ; ; ; ;O;X; ;X;O; ; ; ; ;O;X; ; ; ; ; ;O; ; ; ; ;X; ; ; ;X; ; ;O;X; ; ; ;O;O; ;X; ; ; ;X; ; ; ; ;X; ;X;O; ;X; ;X;O; ;O; ;X;X; ; ;X; ;O;O;5.0;X;111.5
130; ; ; ;X;X; ; ;X; ; ; ; ; ; ;X;X; ; ; ; ; ; ; ; ; ; ;O; ; ; ; ; ; ;O; ; ; ;O;O; ; ; ;X; ; ;O; ; ; ;O; ; ; ; ;O; ; ; ; ;X; ; ;O;O; ; ; ; ; ; ; ;O; ; ;X; ;X; ; ;X; ;2.0;O;0.5
131; ; ; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ;O; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8.0;X;0.5
132;X;X; ; ;O;O; ;O; ; ;O; ;X;X;X;O; ;O; ; ; ; ; ; ; ;O;X;O;X;X; ;O; ; ; ; ; ;X; ;O; ; ;X;X;O;X; ; ; ;O; ; ; ; ; ;O; ;O; ; ; ; ;X;X;O; ;X;X; ; ; ; ;O; ;O; ; ; ;X; ; ;8.0;X;115.0
133; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ;O; ; ; ; ;X; ; ; ; ; ; ; ; ; ;O; ; ;O;O; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ;X; ; ; ;O; ; ;X; ; ;X; ; ; ; ; ; ; ; ; ; ;6.0;O;0.0
134; ;O; ;O; ; ;O;X;X; ; ; ;O;O;O;X;O;X;O;X;X;O; ;O; ; ;O;X; ;X; ;O;X;X; ; ; ;X;X; ;X; ;O; ;O;X;X; ; ;O;O;O;X;X;O;X;X;X; ;X; ;O; ; ; ;O; ;X;X; ; ;O;X;O;O;X; ;O;O; ;X;3.0;X;114.0
136; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ;X; ;X; ; ; ; ; ; ; ;O; ; ; ; ;O; ;2.0;O;2.5
137; ;O;O; ;X;O; ;X;O;X;O;X;X;X; ; ; ;X;X;O; ;X;X;X; ;X;X;O;X;O;X;X; ;X;O;O; ;O;O;O; ; ; ;O;X; ;X; ;O; ;O;X; ; ; ;O; ; ;O; ;O;X;O;O;X;O;O;O; ;X;O;X;X;O;O;X; ;X;X; ;O;4.0;X;163.5
138;O;O;X;X;X;X;X;O; ;X;X;O;O;O;X;O;X;X;X;O;X;X;X;O;O;O;X;O;X;X; ;O;X;X;O;X; ;O;O;O;X;X;O;O; ;O;O;O; ; ; ;X; ;O;O;X;X;O;X; ; ;O;X;X;X;X; ; ;O; ; ;X;O;O;O; ; ;X;O;O;X;;Draw;0.0
139;O;O;X; ;O;O;X; ;X;X;X; ;X;X;X; ;O; ;X;X; ;O;X; ; ;O; ;X; ;O; ; ; ;X; ; ;O;O;O; ;X; ; ; ; ; ; ; ; ;O;X; ; ;O; ; ;O; ; ; ; ; ;O;X;O; ; ;X; ; ;X; ;O; ;X; ;O; ; ;O;X;;O;464.5
140; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ;O; ;X; ; ;X; ; ; ; ; ; ;O; ; ; ;O; ;X; ; ; ; ; ;X; ;O; ; ; ;X;O; ; ; ; ; ; ; ;X; ; ; ; ; ;O; ;O; ; ; ; ; ; ;O; ; ; ; ; ; ;2.0;X;158.0
141; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ; ; ;O; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ;4.0;O;1.0
142; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ;O; ;0.0;X;-0.5
143; ; ; ;O;O; ; ;X;X;O; ; ;O; ;O; ;O;O;X;X;X;O;X; ; ; ;O; ; ;O; ; ;X;X;O;X;O;X;O; ;X;O;X;O;X; ;X;X; ;O;X;X;O; ; ; ;O; ;O;O;O; ; ;X;X; ; ;X; ;X; ;X;O; ;O;X;X;O;X;O; ;0.0;Draw;61.0
144; ; ; ; ; ; ; ; ; ; ; ; ;X; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ; ; ;O; ; ; ; ; ; ; ;O; ; ; ; ;X; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ;0.0;O;2.0
145;X;X; ; ; ;O; ; ;O;X;O;O; ; ; ;O; ;X;O; ; ;O; ;O; ;X;X; ; ;X; ;O; ; ;X;X; ; ; ; ; ; ; ;X;O; ; ;X;O; ;X; ;O;X; ;X;X;X; ; ; ; ; ; ;O;X; ; ;O; ;O;X;O; ;O;O;X;X;O; ; ;2.0;Draw;152.5
146; ; ;X;X;O; ;X; ; ; ;O;X;X; ;O; ;X;O;O;O;X;X;X;O;O;O; ; ;O; ; ;O; ; ; ;O;O;X; ; ;O;X; ;X; ;O; ;X; ; ; ;X;O; ; ;X;O; ;X;X; ;O; ;X;X;O; ; ;O;O;X;O; ; ;X; ; ; ;O;X;X;5.0;O;-102.0
147; ; ; ; ; ; ; ; ;X; ; ; ; ; ;O; ; ; ; ; ; ; ;O; ;O; ; ; ; ;X;X; ;O; ; ; ;O; ;X; ; ; ; ; ; ; ;X; ; ; ; ; ; ;X; ; ;O; ;X; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ;O; ; ; ;O; ;2.0;X;2.5
148;X; ; ; ;X; ;O;O;O; ; ; ; ; ; ;X; ;O; ; ; ; ; ;O;O;O; ;X; ; ;O;O; ; ;X; ; ; ;X; ; ;O;O;O; ; ; ; ;X;X; ; ;O;X;O; ; ; ;X;O;X;X; ;O;X;X; ; ;X; ;X;O;X;O;X;X; ; ; ; ; ;7.0;Draw;268.0
149;X; ;O; ; ;O; ;O;O;X;O;O;O;X;O;X; ;X;X; ;X;O;O;X;X;O;O;X;X;X;O; ; ; ; ; ; ;X; ;O;O; ;X;X;O; ;X; ;X;O;X;O;O; ; ;O;O; ; ;O;X;O;O;X;X;X; ;X; ; ;O;O;O; ;X;X;O;X;X;X; ;4.0;X;10000.0
150; ; ; ; ; ;O; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ;X;O; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ;O; ; ; ; ;O; ; ; ; ; ;X; ; ; ; ; ; ; ;X; ; ; ;O; ; ; ; ; ;5.0;X;-1.5
151; ; ; ; ;X; ; ; ;O; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ; ; ; ; ; ; ; ;O; ; ; ; ; ;X; ;O; ; ; ; ; ; ; ;X;0.0;O;2.0
152;O; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;O;O; ;X;O;O;X; ;X; ; ;X; ; ; ;X; ; ;X;O; ; ;O; ; ; ; ;X; ; ; ;O; ; ; ; ;X; ;X; ; ; ;X;X; ; ; ; ; ; ; ; ; ; ;O; ;O;O; ; ; ;1.0;O;-0.5
153; ;O; ;O;X; ; ; ;X;O;X;O; ;X; ;X; ;O; ; ; ; ;X; ; ; ; ;X;O; ; ; ;X; ;X;O; ; ;X;O; ; ;O; ;O; ;X; ; ; ; ;O; ;X; ;X; ;O; ;O;X;X; ;O;O; ;X; ; ; ; ; ;X; ; ;X;O;O;O; ;X;2.0;X;1.0
154;O; ;X;O; ;O;O;O; ; ; ; ;X;X; ; ; ;O;X; ;O; ;O;X; ; ;X;X; ;O;O;X; ;O;X; ; ;O;O;X; ;O; ; ; ;X;O; ;X; ;X;X;O;X;X; ;X;O; ;O;X; ; ;X;X; ;X; ;O;O;X; ;O; ; ; ;X; ; ;O; ;3.0;X;49.0
155;O; ;X;X;O;X;X;O;X;X; ;O;O; ; ;O;X;O; ;X;X;X; ;X;O; ;X; ; ;O; ;O;O;O; ;X; ;X;O;X; ;X; ;O;X;O;X;O;X; ;O;X; ;O; ; ;O; ; ;O; ; ;O;X; ; ; ;X;X;O;O; ; ;X; ;X;O;O;X;X;O;8.0;Draw;168.5
156;X;O;O;X;X; ;O; ;O; ;O; ;X;X;O;O;X;O;O;X;X; ;X; ;O; ;O;O; ; ;X;O; ; ; ;O;X;X;X;O; ;O; ; ;O;O;X;X; ;O;X;X; ; ;X; ;O;O; ;O; ;X;X; ;O;X; ; ;O;X; ;O;X;X;O; ;O;X;X;X;X;2.0;X;-206.5
157;O;X; ; ;O; ;O;X;O;O;X; ;X;X; ;O;X; ;O;O; ;O;X;O; ; ; ; ;O;X;X; ;O;X; ;X;X;O;X;O;X; ; ;O;O;X; ; ;O;O;X;X; ; ;X; ;X; ;X;X;O; ;O;O;X;X;O; ; ;O;O; ;X; ;O;X;O; ; ;X;X;3.0;O;260.5
158; ; ; ; ; ; ;O; ; ; ;X; ; ; ; ; ; ;O; ; ; ; ; ; ; ; ; ; ;O; ;X; ; ; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ;8.0;X;1.0
159;O;X; ; ;O;X;O;O; ;O; ; ; ;O;O;X; ;O; ;X;O; ;X;X; ;O;O; ; ;X;O;X;X; ; ;X;X;X;O;O;X;O;O; ;O;X;O;X;O;X; ;O; ;O; ;X; ;O;X;O;X;O; ;X; ; ;X;X; ; ; ; ;X; ;O;X; ;X;X; ; ;;O;10000.0
160; ;O; ;X;X;O;O; ;O; ; ;X;X;X;O;O;X; ;O;O; ; ; ;O; ;O; ;X; ; ;O;O; ; ;O; ;X; ; ; ;O;O;O;O;X;X;X; ;X;X; ; ; ;X; ;X;X; ; ; ; ; ;X;X;O;X; ;X;O; ; ; ;O;O;X; ; ;O; ;X; ;;Draw;210.0
161;X; ;X;O; ;O; ; ; ; ; ; ;X; ; ; ; ; ;O;O;O; ;O; ;X;X; ;X; ;O; ; ;X; ;O;X; ; ; ; ;X;X; ;O; ;O; ;X;X; ;O;O;X; ; ; ;X;O; ; ; ; ; ; ; ;O; ;O;X; ;X;O; ; ;X; ; ;O; ; ; ;;X;51.0
162; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;O; ; ; ; ; ; ; ; ; ; ;O; ; ; ; ; ;O; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ;X; ; ; ;1.0;X;1.0
163; ;O; ;X;O;X; ;X;X;O;X;X;X;O; ;X;O; ;O;O; ; ; ;O;X;X; ; ;X; ;O; ;X;O; ;O;O;O;X;X;X;O;O;X;O;X; ; ; ;X;X;O;O;X;O;X;X; ;X;O; ;X; ;X; ;O; ;X;O;O;O;X; ; ;O; ;O; ;O; ; ;;X;238.0
164; ; ;O;O; ; ; ; ; ; ; ;O; ; ;O; ; ; ;X; ; ;X; ;X;X; ; ; ; ;O; ; ; ;X;X; ; ; ; ; ; ; ; ;O; ;X;X; ; ; ;O;X; ; ; ;X;O;O;X; ;O; ;O; ; ; ; ; ; ;O; ; ; ; ; ; ; ; ;X; ; ;7.0;X;157.5
165; ;X; ;O;O; ; ;X; ;O;O; ;O; ; ;X; ; ; ; ; ; ; ; ; ;O; ; ;X;X;X;O; ;O; ;X;X; ; ;O; ; ;X; ; ; ; ; ; ; ; ;O; ; ;O;X; ;O;X; ;X;O; ; ; ; ; ;X;X; ; ;O;X; ; ;X; ; ; ; ;O;4.0;X;-0.5
